analysis,analyses
agenda,agendas
alms,alms
alumna,alumnae
alumnus,alumni
antenna,antennas
appendix,appendices
athletics,athletics
attorney,attorneys
axis,axes
bacillus,bacilli
baggage ,baggage 
basis,bases
belief,beliefs
bison,bison
brief,briefs
cactus,cacti
calf,calves
cattle,cattle
chamois,chamois
chief,chiefs
child,children
clothing ,clothing 
cod,cod
corpus,corpora
corps,corps
crisis,crises
criterion,criteria
cuff,cuffs
cul-de-sac,culs-de-sac
curriculum,curricula
datum,data
deer,deer
diagnosis,diagnoses
die,dice
dozen,dozen
dwarf,dwarves
economics,economics
ellipsis,ellipses
elf,elves
equipment ,equipment 
foot,feet
fife,fifes
fish,fish
focus,foci
formula,formulas
fungus,fungi
furniture ,furniture 
gallows,gallows
goose,geese
genius,genii
genus,genera
graffito,gaffiti
grouse,grouse
hair,hair
half,halves
halibut,halibut
headquarters,headquarters
hippopotamus,hippopotami
hoof,hooves
hypothesis,hypotheses
index,indices
information ,information 
kerchief,kerchieves
kidney,kidneys
knife,knives
leaf,leaves
louse,lice
linguistics,linguistics
life,lives
loaf,loaves
luggage ,luggage 
mathematics,mathematics
means ,means 
measles,measles
medium,media
memorandum,memoranda
memo,memos
man,men
mouse,mice
millennium,millennia
mongoose,mongooses
moose,moose
nucleus,nuclei
oasis,oases
octopus,octopi
ox,oxen
parenthesis,parentheses
person,people
phenomenon,phenomena
pince-nez,pince-nez
plaintiff,plaintiffs
polihedron,polyhedra
politics,politics
potato,potatoes
quantum,quanta
radius,radii
reef,reefs
referendum,referenda
roe,roe
roof,roofs
safe,safes
salmon,salmon
scarf,scarves
series,series
sheep ,sheep 
shelf,shelves
sheriff,sheriffs
stadiums,stadiums
stereo,stereos
stimulus,stimuli
stratum,strata
succubus,succubi
swine,swine
syllabus,syllabi
synopsis,synopses
tooth,teeth
thesis,theses
thesis,theses
thief,thieves
tomato,tomatoes
wharf,wharves
whiff,whiffs
wife,wives
wife,wives
wolf,wolves
woman,women
